benchmark,WebPL,WebPL (with GC),SWI-Prolog
chat\_parser,98304.0,49152.0,7395283.154929577
crypt,24576.0,24576.0,3968909.696
derive,49152.0,49152.0,3005071.744
divide10,24576.0,24576.0,2404893.056
fib,25165824.0,49152.0,1224571.9190283401
log10,12288.0,12288.0,2670379.392
mu,24576.0,24576.0,2428682.624
nreverse,393216.0,393216.0,2543501.696
ops8,12288.0,12288.0,2406531.456
poly\_10,25165824.0,393216.0,3635099.835616438
qsort,393216.0,196608.0,2785526.144
queens\_8,98304.0,49152.0,1571011.359430605
query,6144.0,6144.0,3563569.536
tak,100663296.0,50331648.0,9707504.0
times10,12288.0,12288.0,2658779.52
zebra,24576.0,24576.0,2333694.02739726
